First Name,Last Name,World Rank,Odds,Current_Standing,Picture_URL
Luke,List,122,200/1,0,LukeList.png
Rory,Sabbatini,89,200/1,0,RorySabbatini.png
Ryan,Palmer,35,200/1,0,RyanPalmer.png
Joel,Dahmen,69,210/1,0,JoelDahmen.png
Martin,Kaymer,128,210/1,0,MartinKaymer.png
Matthias,Schwab,79,210/1,0,MatthiasSchwab.png
Emiliano,Grillo,132,240/1,0,EmilianoGrillo.png
Brian,Harman,138,250/1,0,BrianHarman.png
Cameron,Smith,51,250/1,0,CameronSmith.png
Christiaan,Bezuidenhout,47,250/1,0,ChristiaanBezuidenhout.png
J.T.,Poston,66,250/1,0,JTPoston.png
Jazz,Janewattananond,52,250/1,0,JazzJanewattananond.png
Jim,Furyk,94,250/1,0,JimFuryk.png
Joost,Luiten,101,250/1,0,JoostLuiten.png
Keegan,Bradley,75,250/1,0,KeeganBradley.png
Keith,Mitchell,106,250/1,0,KeithMitchell.png
Kevin,Na,30,250/1,0,KevinNa.png
Michael,Thompson,99,250/1,0,MichaelThompson.png
Rafa,Cabrera Bello,58,250/1,0,RafaCabreraBello.png
Robert,MacIntyre,81,250/1,0,RobertMacIntyre.png
Sunghoon,Kang,61,250/1,0,SunghoonKang.png
Dylan,Frittelli,102,260/1,0,DylanFrittelli.png
Adam,Long,73,270/1,0,AdamLong.png
Mackenzie,Hughes,74,290/1,0,MackenzieHughes.png
Russell,Henley,181,290/1,0,RussellHenley.png
Troy,Merritt,119,290/1,0,TroyMerritt.png
Andrew,Landry,113,320/1,0,AndrewLandry.png
Bud,Cauley,135,320/1,0,BudCauley.png
Lanto,Griffin,86,340/1,0,LantoGriffin.png
Andrew,Putnam,92,350/1,0,AndrewPutnam.png
Graeme,McDowell,55,350/1,0,GraemeMcDowell.png
Haotong,Li,114,350/1,0,HaotongLi.png
Ryan,Moore,110,350/1,0,RyanMoore.png
Scott,Piercy,115,350/1,0,ScottPiercy.png
Sepp,Straka,146,350/1,0,SeppStraka.png
Siwoo,Kim,133,350/1,0,SiwooKim.png
Talor,Gooch,144,350/1,0,TalorGooch.png
Zach,Johnson,210,350/1,0,ZachJohnson.png
Cameron,Tringale,176,400/1,0,CameronTringale.png
Doc,Redman,131,400/1,0,DocRedman.png
Harold,Varner III,125,400/1,0,HaroldVarnerIII.png
Jason,Dufner,277,400/1,0,JasonDufner.png
Jimmy,Walker,325,400/1,0,JimmyWalker.png
Joohyung,Kim,95,400/1,0,JoohyungKim.png
Kurt,Kitayama,85,400/1,0,KurtKitayama.png
Marcus,Kinhult,108,400/1,0,MarcusKinhult.png
Victor,Perez,50,400/1,0,VictorPerez.png
Brian,Stuard,140,420/1,0,BrianStuard.png
Denny,McCarthy,195,420/1,0,DennyMcCarthy.png
Benjamin,Hebert,109,440/1,0,BenjaminHebert.png
C.T.,Pan,116,500/1,0,CTPan.png
Carlos,Ortiz,136,500/1,0,CarlosOrtiz.png
Danny,Lee,103,500/1,0,DannyLee.png
Jorge,Campillo,96,500/1,0,JorgeCampillo.png
Mark,Hubbard,142,500/1,0,MarkHubbard.png
Mike,Lorenzo-Vera,82,500/1,0,MikeLorenzoVera.png
Nick,Taylor,100,500/1,0,NickTaylor.png
Juan Sebastian,Munoz,98,500/1,0,JuanSebastianMunoz.png
Tom,Hoge,137,500/1,0,TomHoge.png
Tyler,Duncan,167,500/1,0,TylerDuncan.png
Vaughn,Taylor,117,500/1,0,VaughnTaylor.png
Chan,Kim,83,600/1,0,ChanKim.png
Lucas,Herbert,72,600/1,0,LucasHerbert.png
Matt,Jones,88,600/1,0,MattJones.jpeg
Nate,Lashley,93,600/1,0,NateLashley.png
Ryo,Ishikawa,97,600/1,0,RyoIshikawa.png
Shaun,Norris,71,600/1,0,ShaunNorris.png
Steve,Stricker,515,600/1,0,SteveStricker.png
Zach,J Johnson,5752,1000/1,0,ZachJJohnson.png
Rich,"Berberian, Jr.",6128,1000/1,0,RichBerberianJr.png
Alexander,Beach,7232,1000/1,0,AlexanderBeach.png
Alex,Knoll,#N/A,1000/1,0,AlexKnoll.png
Benjamin,Cook,7556,1000/1,0,BenjaminCook.png
Bob,Sowards,2712,1000/1,0,BobSowards.png
Daniel,Balin,3414,1000/1,0,DanielBalin.png
David,Muttitt,5773,1000/1,0,DavidMuttitt.png
Davis,Love III,900,1000/1,0,DavisLoveIII.png
J.R.,Roth,#N/A,1000/1,0,JRRoth.png
Jason,Caron,2332,1000/1,0,JasonCaron.png
Jeff,Hart,#N/A,1000/1,0,JeffHart.png
Jim,Herman,320,1000/1,0,JimHerman.png
John,O'Leary,3221,1000/1,0,JohnOLeary.png
Judd,Gibb,#N/A,1000/1,0,JuddGibb.png
Justin,Bertsch,8202,1000/1,0,JustinBertsch.png
Ken,Tanigawa,#N/A,1000/1,0,KenTanigawa.png
Marty,Jertson,1654,1000/1,0,MartyJertson.png
Mike,Auterson,#N/A,1000/1,0,MikeAuterson.png
Rich,Beem,1655,1000/1,0,RichBeem.png
Rob,Labritz,1657,1000/1,0,RobLabritz.png
Rod,Perry,2702,1000/1,0,RodPerry.png
Ryan,Vermeer,1656,1000/1,0,RyanVermeer.png
Shaun,Micheel,2413,1000/1,0,ShaunMicheel.png
Shawn,Warren,3123,1000/1,0,ShawnWarren.png
